Time,Displacement,Lambda,S11,S22
0,0,1,0,0
0.25,0.111094,1.003703133,1.45E-03,5.54E-04
0.5,0.222188,1.007406267,1.76E-03,7.27E-04
0.75,0.333281,1.011109367,0.00202833,8.88E-04
1,0.444375,1.0148125,0.00231493,1.05E-03
1.25,0.555469,1.018515633,0.00261697,1.22E-03
1.5,0.666562,1.022218733,0.00293571,0.00139625
1.75,0.777656,1.025921867,0.00327247,0.00157559
2,0.88875,1.029625,0.00362861,0.00176072
2.25,0.999844,1.033328133,0.00400561,0.00195213
2.5,1.11094,1.037031333,0.00440498,0.00215034
2.75,1.22203,1.040734333,0.00482834,0.00235592
3,1.33312,1.044437333,0.00527736,0.00256942
3.25,1.44422,1.048140667,0.00575381,0.00279147
3.5,1.55531,1.051843667,0.00625955,0.00302268
3.75,1.66641,1.055547,0.00679649,0.00326371
4,1.7775,1.05925,0.00736666,0.00351526
4.25,1.88859,1.062953,0.00797217,0.00377804
4.5,1.99969,1.066656333,0.00861521,0.00405279
4.75,2.11078,1.070359333,0.00929809,0.00434029
5,2.22187,1.074062333,0.0100232,0.00464135
5.25,2.33297,1.077765667,0.010793,0.0049568
5.5,2.44406,1.081468667,0.0116101,0.00528753
5.75,2.55516,1.085172,0.0124771,0.00563444
6,2.66625,1.088875,0.0133969,0.00599846
6.25,2.77734,1.092578,0.0143724,0.00638057
6.5,2.88844,1.096281333,0.0154064,0.00678178
6.75,2.99953,1.099984333,0.0165022,0.00720313
7,3.11063,1.103687667,0.017663,0.00764569
7.25,3.22172,1.107390667,0.0188919,0.00811058
7.5,3.33281,1.111093667,0.0201925,0.00859894
7.75,3.44391,1.114797,0.0215683,0.00911197
8,3.555,1.1185,0.0230229,0.00965087
8.25,3.66609,1.122203,0.0245601,0.0102169
8.5,3.77719,1.125906333,0.0261836,0.0108114
8.75,3.88828,1.129609333,0.0278975,0.0114356
9,3.99938,1.133312667,0.0297059,0.0120909
9.25,4.11047,1.137015667,0.0316128,0.0127788
9.5,4.22156,1.140718667,0.0336225,0.0135005
9.75,4.33266,1.144422,0.0357395,0.0142577
10,4.44375,1.148125,0.0379682,0.0150518
10.25,4.55484,1.151828,0.0403132,0.0158844
10.5,4.66594,1.155531333,0.0427792,0.016757
10.75,4.77703,1.159234333,0.045371,0.0176711
11,4.88812,1.162937333,0.0480933,0.0186285
11.25,4.99922,1.166640667,0.0509512,0.0196308
11.5,5.11031,1.170343667,0.0539497,0.0206797
11.75,5.22141,1.174047,0.0570939,0.0217768
12,5.3325,1.17775,0.060389,0.022924
12.25,5.44359,1.181453,0.0638404,0.024123
12.5,5.55469,1.185156333,0.0674533,0.0253756
12.75,5.66578,1.188859333,0.0712331,0.0266835
13,5.77688,1.192562667,0.0751854,0.0280487
13.25,5.88797,1.196265667,0.0793155,0.0294729
13.5,5.99906,1.199968667,0.0836292,0.030958
13.75,6.11016,1.203672,0.0881319,0.0325059
14,6.22125,1.207375,0.0928293,0.0341184
14.25,6.33234,1.211078,0.0977271,0.0357976
14.5,6.44344,1.214781333,0.102831,0.0375451
14.75,6.55453,1.218484333,0.108146,0.039363
15,6.66563,1.222187667,0.113679,0.0412532
15.25,6.77672,1.225890667,0.119435,0.0432174
15.5,6.88781,1.229593667,0.12542,0.0452577
15.75,6.99891,1.233297,0.131639,0.0473759
16,7.11,1.237,0.138098,0.0495738
16.25,7.22109,1.240703,0.144802,0.0518533
16.5,7.33219,1.244406333,0.151757,0.0542163
16.75,7.44328,1.248109333,0.158969,0.0566645
17,7.55438,1.251812667,0.166442,0.0591997
17.25,7.66547,1.255515667,0.174182,0.0618237
17.5,7.77656,1.259218667,0.182193,0.0645381
17.75,7.88766,1.262922,0.190482,0.0673447
18,7.99875,1.266625,0.199053,0.070245
18.25,8.10984,1.270328,0.20791,0.0732407
18.5,8.22094,1.274031333,0.217059,0.0763332
18.75,8.33203,1.277734333,0.226503,0.0795242
19,8.44312,1.281437333,0.236247,0.0828149
19.25,8.55422,1.285140667,0.246295,0.0862067
19.5,8.66531,1.288843667,0.25665,0.089701
19.75,8.77641,1.292547,0.267317,0.093299
20,8.8875,1.29625,0.278299,0.0970017
20.25,8.77641,1.292547,0.250735,0.0877746
20.5,8.66531,1.288843667,0.23303,0.0818321
20.75,8.55422,1.285140667,0.216413,0.076252
21,8.44312,1.281437333,0.200836,0.0710181
21.25,8.33203,1.277734333,0.18625,0.0661143
21.5,8.22094,1.274031333,0.172607,0.0615247
21.75,8.10984,1.270328,0.159861,0.0572334
22,7.99875,1.266625,0.147964,0.0532251
22.25,7.88766,1.262922,0.136871,0.0494845
22.5,7.77656,1.259218667,0.126538,0.0459969
22.75,7.66547,1.255515667,0.116922,0.042748
23,7.55438,1.251812667,0.107981,0.039724
23.25,7.44328,1.248109333,0.0996755,0.0369115
23.5,7.33219,1.244406333,0.091967,0.0342978
23.75,7.22109,1.240703,0.0848185,0.0318704
24,7.11,1.237,0.0781946,0.0296177
24.25,6.99891,1.233297,0.0720619,0.0275284
24.5,6.88781,1.229593667,0.0663881,0.0255918
24.75,6.77672,1.225890667,0.0611429,0.0237979
25,6.66563,1.222187667,0.0562975,0.0221369
25.25,6.55453,1.218484333,0.0518243,0.0205998
25.5,6.44344,1.214781333,0.0476978,0.019178
25.75,6.33234,1.211078,0.0438935,0.0178634
26,6.22125,1.207375,0.0403885,0.0166483
26.25,6.11016,1.203672,0.0371612,0.0155255
26.5,5.99906,1.199968667,0.0341914,0.0144882
26.75,5.88797,1.196265667,0.03146,0.0135302
27,5.77688,1.192562667,0.0289494,0.0126456
27.25,5.66578,1.188859333,0.0266427,0.0118286
27.5,5.55469,1.185156333,0.0245245,0.0110742
27.75,5.44359,1.181453,0.0225803,0.0103776
28,5.3325,1.17775,0.0207964,0.0097341
28.25,5.22141,1.174047,0.0191603,0.00913961
28.5,5.11031,1.170343667,0.0176603,0.00859019
28.75,4.99922,1.166640667,0.0162853,0.0080822
29,4.88812,1.162937333,0.0150254,0.00761225
29.25,4.77703,1.159234333,0.013871,0.0071772
29.5,4.66594,1.155531333,0.0128135,0.00677415
29.75,4.55484,1.151828,0.0118448,0.00640039
30,4.44375,1.148125,0.0109574,0.00605343
30.25,4.33266,1.144422,0.0101443,0.00573095
30.5,4.22156,1.140718667,0.00939937,0.00543083
30.75,4.11047,1.137015667,0.00871652,0.00515109
31,3.99938,1.133312667,0.00809037,0.00488992
31.25,3.88828,1.129609333,0.00751592,0.00464564
31.5,3.77719,1.125906333,0.00698855,0.00441671
31.75,3.66609,1.122203,0.00650403,0.0042017
32,3.555,1.1185,0.00605845,0.00399931
32.25,3.44391,1.114797,0.00564824,0.00380834
32.5,3.33281,1.111093667,0.00527011,0.00362767
32.75,3.22172,1.107390667,0.00492105,0.00345631
33,3.11063,1.103687667,0.00459829,0.00329332
33.25,2.99953,1.099984333,0.00429931,0.00313784
33.5,2.88844,1.096281333,0.00402179,0.00298909
33.75,2.77734,1.092578,0.00376362,0.00284637
34,2.66625,1.088875,0.00352286,0.00270901
34.25,2.55516,1.085172,0.00329775,0.00257642
34.5,2.44406,1.081468667,0.00308668,0.00244805
34.75,2.33297,1.077765667,0.00288818,0.00232339
35,2.22187,1.074062333,0.00270092,0.002202
35.25,2.11078,1.070359333,0.00252369,0.00208346
35.5,1.99969,1.066656333,0.00235536,0.00196737
35.75,1.88859,1.062953,0.00219495,0.00185341
36,1.7775,1.05925,0.00204153,0.00174124
36.25,1.66641,1.055547,0.00189428,0.00163059
36.5,1.55531,1.051843667,0.00175244,0.00152118
36.75,1.44422,1.048140667,0.00161533,0.00141277
37,1.33312,1.044437333,0.00148234,0.00130515
37.25,1.22203,1.040734333,0.0013529,0.00119811
37.5,1.11094,1.037031333,0.00122651,0.00109146
37.75,0.999844,1.033328133,0.0011027,9.85E-04
38,0.88875,1.029625,9.81E-04,8.79E-04
38.25,0.777656,1.025921867,8.61E-04,7.72E-04
38.5,0.666562,1.022218733,7.43E-04,6.66E-04
38.75,0.555469,1.018515633,6.26E-04,5.59E-04
39,0.444375,1.0148125,5.09E-04,4.51E-04
39.25,0.333281,1.011109367,3.93E-04,3.44E-04
39.5,0.222188,1.007406267,2.78E-04,2.35E-04
