Time,Displacement,Lambda,S11,S22
0,0,1,0,0
5.00E-02,3.75E-02,1.00125,1.28E-03,4.50E-04
1.00E-01,7.50E-02,1.0025,1.36E-03,5.02E-04
1.50E-01,0.113,1.00375,1.46E-03,5.56E-04
0.2,0.15,1.005,1.54E-03,6.08E-04
0.25,0.188,1.00625,1.62E-03,6.60E-04
0.3,0.225,1.0075,1.71E-03,7.12E-04
0.35,0.263,1.00875,1.80E-03,7.65E-04
0.4,0.3,1.01,1.89E-03,8.18E-04
0.45,0.338,1.01125,1.98E-03,8.71E-04
0.5,0.375,1.0125,2.07E-03,9.25E-04
0.55,0.413,1.01375,2.16E-03,9.80E-04
0.6,0.45,1.015,2.26E-03,1.03E-03
0.65,0.488,1.01625,2.36E-03,1.09E-03
0.7,0.525,1.0175,2.45E-03,1.15E-03
0.75,0.563,1.01875,2.56E-03,1.20E-03
0.8,0.6,1.02,2.66E-03,1.26E-03
0.85,0.638,1.02125,2.76E-03,1.32E-03
0.9,0.675,1.0225,2.87E-03,1.37E-03
0.95,0.713,1.02375,2.98E-03,1.43E-03
1,0.75,1.025,3.09E-03,1.49E-03
1.05,0.788,1.02625,3.20E-03,1.55E-03
1.1,0.825,1.0275,3.31E-03,1.61E-03
1.15,0.863,1.02875,3.43E-03,1.67E-03
1.2,0.9,1.03,3.55E-03,1.73E-03
1.25,0.938,1.03125,3.67E-03,1.80E-03
1.3,0.975,1.0325,3.79E-03,1.86E-03
1.35,1.0125,1.03375,3.92E-03,1.92E-03
1.4,1.05,1.035,4.04E-03,1.99E-03
1.45,1.0875,1.03625,0.00417,2.05E-03
1.5,1.125,1.0375,0.00431,2.12E-03
1.55,1.1625,1.03875,0.00444,2.18E-03
1.6,1.2,1.04,0.00458,2.25E-03
1.65,1.2375,1.04125,0.00472,2.32E-03
1.7,1.275,1.0425,0.00486,2.39E-03
1.75,1.3125,1.04375,0.00501,2.46E-03
1.8,1.35,1.045,0.00516,2.53E-03
1.85,1.3875,1.04625,0.00531,2.60E-03
1.9,1.425,1.0475,0.00547,2.68E-03
1.95,1.4625,1.04875,0.00563,2.75E-03
2,1.5,1.05,0.00579,2.82E-03
2.05,1.5375,1.05125,0.00595,0.0029
2.1,1.575,1.0525,0.00612,0.00298
2.15,1.6125,1.05375,0.00629,0.00305
2.2,1.65,1.055,0.00647,0.00313
2.25,1.6875,1.05625,0.00665,0.00321
2.3,1.725,1.0575,0.00683,0.00329
2.35,1.7625,1.05875,0.00701,0.00338
2.4,1.8,1.06,0.0072,0.00346
2.45,1.8375,1.06125,0.0074,0.00355
2.5,1.875,1.0625,0.00759,0.00363
2.55,1.9125,1.06375,0.00779,0.00372
2.6,1.95,1.065,0.008,0.00381
2.65,1.9875,1.06625,0.00821,0.0039
2.7,2.025,1.0675,0.00842,0.00399
2.75,2.0625,1.06875,0.00864,0.00408
2.8,2.1,1.07,0.00886,0.00418
2.85,2.1375,1.07125,0.00909,0.00427
2.9,2.175,1.0725,0.00932,0.00437
2.95,2.2125,1.07375,0.00956,0.00447
3,2.25,1.075,0.0098,0.00457
3.05,2.2875,1.07625,0.01,0.00467
3.1,2.325,1.0775,0.0103,0.00477
3.15,2.3625,1.07875,0.0105,0.00488
3.2,2.4,1.08,0.0108,0.00498
3.25,2.4375,1.08125,0.0111,0.00509
3.3,2.475,1.0825,0.0113,0.0052
3.35,2.5125,1.08375,0.0116,0.00531
3.4,2.55,1.085,0.0119,0.00542
3.45,2.5875,1.08625,0.0122,0.00554
3.5,2.625,1.0875,0.0125,0.00566
3.55,2.6625,1.08875,0.0128,0.00578
3.6,2.7,1.09,0.0131,0.0059
3.65,2.7375,1.09125,0.0134,0.00602
3.7,2.775,1.0925,0.0137,0.00614
3.75,2.8125,1.09375,0.014,0.00627
3.8,2.85,1.095,0.0144,0.0064
3.85,2.8875,1.09625,0.0147,0.00653
3.9,2.925,1.0975,0.0151,0.00666
3.95,2.9625,1.09875,0.0154,0.0068
4,3,1.1,0.0158,0.00694
4.05,3.0375,1.10125,0.0161,0.00708
4.1,3.075,1.1025,0.0165,0.00722
4.15,3.1125,1.10375,0.0169,0.00736
4.2,3.15,1.105,0.0173,0.00751
4.25,3.1875,1.10625,0.0176,0.00766
4.3,3.225,1.1075,0.018,0.00781
4.35,3.2625,1.10875,0.0185,0.00796
4.4,3.3,1.11,0.0189,0.00812
4.45,3.3375,1.11125,0.0193,0.00828
4.5,3.375,1.1125,0.0197,0.00844
4.55,3.4125,1.11375,0.0202,0.00861
4.6,3.45,1.115,0.0206,0.00877
4.65,3.4875,1.11625,0.0211,0.00894
4.7,3.525,1.1175,0.0215,0.00912
4.75,3.5625,1.11875,0.022,0.00929
4.8,3.6,1.12,0.0225,0.00947
4.85,3.6375,1.12125,0.023,0.00965
4.9,3.675,1.1225,0.0235,0.00984
4.95,3.7125,1.12375,0.024,0.01
5,3.75,1.125,0.0245,0.0102
5.05,3.7875,1.12625,0.025,0.0104
5.1,3.825,1.1275,0.0256,0.0106
5.15,3.8625,1.12875,0.0261,0.0108
5.2,3.9,1.13,0.0267,0.011
5.25,3.9375,1.13125,0.0272,0.0112
5.3,3.975,1.1325,0.0278,0.0114
5.35,4.0125,1.13375,0.0284,0.0116
5.4,4.05,1.135,0.029,0.0119
5.45,4.0875,1.13625,0.0296,0.0121
5.5,4.125,1.1375,0.0302,0.0123
5.55,4.1625,1.13875,0.0309,0.0125
5.6,4.2,1.14,0.0315,0.0128
5.65,4.2375,1.14125,0.0322,0.013
5.7,4.275,1.1425,0.0328,0.0132
5.75,4.3125,1.14375,0.0335,0.0135
5.8,4.35,1.145,0.0342,0.0137
5.85,4.3875,1.14625,0.0349,0.014
5.9,4.425,1.1475,0.0356,0.0142
5.95,4.4625,1.14875,0.0363,0.0145
6,4.5,1.15,0.0371,0.0148
6.05,4.5375,1.15125,0.0378,0.015
6.1,4.575,1.1525,0.0386,0.0153
6.15,4.6125,1.15375,0.0394,0.0156
6.2,4.65,1.155,0.0402,0.0158
6.25,4.6875,1.15625,0.041,0.0161
6.3,4.725,1.1575,0.0418,0.0164
6.35,4.7625,1.15875,0.0426,0.0167
6.4,4.8,1.16,0.0434,0.017
6.45,4.8375,1.16125,0.0443,0.0173
6.5,4.875,1.1625,0.0452,0.0176
6.55,4.9125,1.16375,0.0461,0.0179
6.6,4.95,1.165,0.047,0.0183
6.65,4.9875,1.16625,0.0479,0.0186
6.7,5.025,1.1675,0.0488,0.0189
6.75,5.0625,1.16875,0.0498,0.0192
6.8,5.1,1.17,0.0507,0.0196
6.85,5.1375,1.17125,0.0517,0.0199
6.9,5.175,1.1725,0.0527,0.0203
6.95,5.2125,1.17375,0.0537,0.0206
7,5.25,1.175,0.0547,0.021
7.05,5.2875,1.17625,0.0558,0.0213
7.1,5.325,1.1775,0.0568,0.0217
7.15,5.3625,1.17875,0.0579,0.0221
7.2,5.4,1.18,0.059,0.0225
7.25,5.4375,1.18125,0.0601,0.0228
7.3,5.475,1.1825,0.0612,0.0232
7.35,5.5125,1.18375,0.0623,0.0236
7.4,5.55,1.185,0.0635,0.024
7.45,5.5875,1.18625,0.0647,0.0244
7.5,5.625,1.1875,0.0659,0.0248
7.55,5.6625,1.18875,0.0671,0.0253
7.6,5.7,1.19,0.0683,0.0257
7.65,5.7375,1.19125,0.0696,0.0261
7.7,5.775,1.1925,0.0708,0.0266
7.75,5.8125,1.19375,0.0721,0.027
7.8,5.85,1.195,0.0734,0.0275
7.85,5.8875,1.19625,0.0748,0.0279
7.9,5.925,1.1975,0.0761,0.0284
7.95,5.9625,1.19875,0.0775,0.0289
8,6,1.2,0.0789,0.0293
8.05,6.0375,1.20125,0.0803,0.0298
8.1,6.075,1.2025,0.0817,0.0303
8.15,6.1125,1.20375,0.0831,0.0308
8.2,6.15,1.205,0.0846,0.0313
8.25,6.1875,1.20625,0.0861,0.0318
8.3,6.225,1.2075,0.0876,0.0323
8.35,6.2625,1.20875,0.0891,0.0329
8.4,6.3,1.21,0.0907,0.0334
8.45,6.3375,1.21125,0.0923,0.0339
8.5,6.375,1.2125,0.0939,0.0345
8.55,6.4125,1.21375,0.0955,0.035
8.6,6.45,1.215,0.0971,0.0356
8.65,6.4875,1.21625,0.0988,0.0362
8.7,6.525,1.2175,0.1,0.0368
8.75,6.5625,1.21875,0.102,0.0373
8.8,6.6,1.22,0.104,0.0379
8.85,6.6375,1.22125,0.106,0.0385
8.9,6.675,1.2225,0.107,0.0391
8.95,6.7125,1.22375,0.109,0.0398
9,6.75,1.225,0.111,0.0404
9.05,6.7875,1.22625,0.113,0.041
9.1,6.825,1.2275,0.115,0.0417
9.15,6.8625,1.22875,0.117,0.0423
9.2,6.9,1.23,0.119,0.043
9.25,6.9375,1.23125,0.121,0.0436
9.3,6.975,1.2325,0.123,0.0443
9.35,7.0125,1.23375,0.125,0.045
9.4,7.05,1.235,0.127,0.0457
9.45,7.0875,1.23625,0.129,0.0464
9.5,7.125,1.2375,0.131,0.0471
9.55,7.1625,1.23875,0.133,0.0478
9.6,7.2,1.24,0.135,0.0485
9.65,7.2375,1.24125,0.137,0.0493
9.7,7.275,1.2425,0.139,0.05
9.75,7.3125,1.24375,0.142,0.0508
9.8,7.35,1.245,0.144,0.0515
9.85,7.3875,1.24625,0.146,0.0523
9.9,7.425,1.2475,0.148,0.0531
9.95,7.4625,1.24875,0.151,0.0539
10,7.5,1.25,0.153,0.0547
10.05,7.5375,1.25125,0.155,0.0555
10.1,7.575,1.2525,0.158,0.0563
10.15,7.6125,1.25375,0.16,0.0571
10.2,7.65,1.255,0.163,0.058
10.25,7.6875,1.25625,0.165,0.0588
10.3,7.725,1.2575,0.168,0.0597
10.35,7.7625,1.25875,0.17,0.0605
10.4,7.8,1.26,0.173,0.0614
10.45,7.8375,1.26125,0.176,0.0623
10.5,7.875,1.2625,0.178,0.0632
10.55,7.9125,1.26375,0.181,0.0641
10.6,7.95,1.265,0.184,0.065
10.65,7.9875,1.26625,0.186,0.0659
10.7,8.025,1.2675,0.189,0.0669
10.75,8.0625,1.26875,0.192,0.0678
10.8,8.1,1.27,0.195,0.0688
10.85,8.1375,1.27125,0.198,0.0698
10.9,8.175,1.2725,0.2,0.0707
10.95,8.2125,1.27375,0.203,0.0717
11,8.25,1.275,0.206,0.0727
11.05,8.2875,1.27625,0.209,0.0737
11.1,8.325,1.2775,0.212,0.0748
11.15,8.3625,1.27875,0.215,0.0758
11.2,8.4,1.28,0.218,0.0768
11.25,8.4375,1.28125,0.222,0.0779
11.3,8.475,1.2825,0.225,0.079
11.35,8.5125,1.28375,0.228,0.08
11.4,8.55,1.285,0.231,0.0811
11.45,8.5875,1.28625,0.234,0.0822
11.5,8.625,1.2875,0.238,0.0833
11.55,8.6625,1.28875,0.241,0.0845
11.6,8.7,1.29,0.244,0.0856
11.65,8.7375,1.29125,0.248,0.0867
11.7,8.775,1.2925,0.251,0.0879
11.75,8.8125,1.29375,0.255,0.0891
11.8,8.85,1.295,0.258,0.0902
11.85,8.8875,1.29625,0.262,0.0914
11.9,8.925,1.2975,0.265,0.0926
11.95,8.9625,1.29875,0.269,0.0938
12,9,1.3,0.272,0.0951
12.05,9.0375,1.30125,0.276,0.0963
12.1,9.075,1.3025,0.28,0.0975
12.15,9.1125,1.30375,0.284,0.0988
12.2,9.15,1.305,0.287,0.1
12.25,9.1875,1.30625,0.291,0.101
12.3,9.225,1.3075,0.295,0.103
12.35,9.2625,1.30875,0.299,0.104
12.4,9.3,1.31,0.303,0.105
12.45,9.3375,1.31125,0.307,0.107
12.5,9.375,1.3125,0.311,0.108
12.55,9.4125,1.31375,0.315,0.109
12.6,9.45,1.315,0.319,0.111
12.65,9.4875,1.31625,0.323,0.112
12.7,9.525,1.3175,0.327,0.113
12.75,9.5625,1.31875,0.331,0.115
12.8,9.6,1.32,0.335,0.116
12.85,9.6375,1.32125,0.34,0.118
12.9,9.675,1.3225,0.344,0.119
12.95,9.7125,1.32375,0.348,0.121
13,9.75,1.325,0.353,0.122
13.05,9.7875,1.32625,0.357,0.123
13.1,9.825,1.3275,0.361,0.125
13.15,9.8625,1.32875,0.366,0.126
13.2,9.9,1.33,0.37,0.128
13.25,9.9375,1.33125,0.375,0.13
13.3,9.975,1.3325,0.379,0.131
13.35,10.0125,1.33375,0.384,0.133
13.4,10.05,1.335,0.389,0.134
13.45,10.0875,1.33625,0.393,0.136
13.5,10.125,1.3375,0.398,0.137
13.55,10.1625,1.33875,0.403,0.139
13.6,10.2,1.34,0.408,0.141
13.65,10.2375,1.34125,0.412,0.142
13.7,10.275,1.3425,0.417,0.144
13.75,10.3125,1.34375,0.422,0.145
13.8,10.35,1.345,0.427,0.147
13.85,10.3875,1.34625,0.432,0.149
13.9,10.425,1.3475,0.437,0.15
13.95,10.4625,1.34875,0.442,0.152
14,10.5,1.35,0.447,0.154
14.05,10.5375,1.35125,0.452,0.156
14.1,10.575,1.3525,0.457,0.157
14.15,10.6125,1.35375,0.463,0.159
14.2,10.65,1.355,0.468,0.161
14.25,10.6875,1.35625,0.473,0.163
14.3,10.725,1.3575,0.478,0.164
14.35,10.7625,1.35875,0.484,0.166
14.4,10.8,1.36,0.489,0.168
14.45,10.8375,1.36125,0.495,0.17
14.5,10.875,1.3625,0.5,0.172
14.55,10.9125,1.36375,0.506,0.173
14.6,10.95,1.365,0.511,0.175
14.65,10.9875,1.36625,0.517,0.177
14.7,11.025,1.3675,0.522,0.179
14.75,11.0625,1.36875,0.528,0.181
14.8,11.1,1.37,0.534,0.183
14.85,11.1375,1.37125,0.539,0.185
14.9,11.175,1.3725,0.545,0.187
14.95,11.2125,1.37375,0.551,0.189
15,11.25,1.375,0.557,0.191
15.05,11.2875,1.37625,0.562,0.193
15.1,11.325,1.3775,0.568,0.195
15.15,11.3625,1.37875,0.574,0.197
15.2,11.4,1.38,0.58,0.199
15.25,11.4375,1.38125,0.586,0.201
15.3,11.475,1.3825,0.592,0.203
15.35,11.5125,1.38375,0.598,0.205
15.4,11.55,1.385,0.604,0.207
15.45,11.5875,1.38625,0.611,0.209
15.5,11.625,1.3875,0.617,0.211
15.55,11.6625,1.38875,0.623,0.213
15.6,11.7,1.39,0.629,0.215
15.65,11.7375,1.39125,0.635,0.217
15.7,11.775,1.3925,0.642,0.219
15.75,11.8125,1.39375,0.648,0.221
15.8,11.85,1.395,0.654,0.223
15.85,11.8875,1.39625,0.661,0.226
15.9,11.925,1.3975,0.667,0.228
15.95,11.9625,1.39875,0.674,0.23
16,12,1.4,0.68,0.232
16.05,12.0375,1.40125,0.687,0.234
16.1,12.075,1.4025,0.693,0.236
16.15,12.1125,1.40375,0.7,0.239
