B2D1 D Lamba,B2D1 D Force,B2D1 ND Lamba,B2D1 ND Force,B1D2 D Lamba,B1D2 D Force,B1D2 ND Lamba,B1D2 ND Force,B1D3 D Lamba,B1D3 D Force,B1D3 ND Lamba,B1D3 ND Force
1,13,1,13,1,13,1,13,1,13,1,13
1.01,13,1.02,13,1.02,13,1.02,13,1.020,13,1.02,13
1.02,13,1.04,13,1.04,13,1.04,13,1.040,13,1.04,13
1.03,13,1.06,13,1.06,13,1.06,13,1.060,13,1.06,13
1.04,13,1.08,13,1.08,13,1.08,13,1.08,13,1.08,13
1.05,13,1.1,13,1.1,13,1.1,13,1.1,13,1.1,13
1.06,13,1.12,13,1.12,13,1.12,13,1.12,13,1.12,13
1.07,13,1.14,13,1.14,13,1.14,13,1.14,13,1.14,13
1.08,13,1.16,13,1.16,13,1.16,13,1.16,13,1.16,13
1.09,13,1.18,13,1.18,13,1.18,13,1.18,13,1.18,13
1.1,13,1.2,13,1.2,13,1.2,13,1.2,13,1.2,13
1.11,13,1.22,13,1.22,13,1.22,13,1.22,13,1.22,13
1.12,13,1.24,13,1.24,13,1.24,13,1.24,13,1.24,13
1.13,13,1.26,13,1.26,13,1.26,13,1.26,13,1.26,13
1.14,13,1.28,13,1.28,13,1.28,13,1.28,13,1.28,13
1.15,13,1.3,13,1.3,13,1.3,13,1.3,13,1.3,13
1.16,13,1.32,13,1.32,13,1.32,13,1.32,13,1.32,13
1.17,13,1.34,13,1.34,13,1.34,13,1.34,13,1.34,13
1.18,13,1.36,13,1.36,13,1.36,13,1.36,13,1.36,13
1.19,13,1.38,13,1.38,13,1.38,13,1.38,13,1.38,13
1.2,13,1.4,13,1.4,13,1.4,13,1.4,13.05,1.4,13
1.21,13,1.42,13,1.42,13,1.42,13,1.42,13.05,1.42,13
1.22,13,1.44,13,1.44,13.05,1.44,13,1.44,13.05,1.44,13
1.23,13,1.46,13,1.46,13.05,1.46,13,1.46,13.1,1.46,13
1.24,13,1.48,13,1.48,13.05,1.48,13,1.48,13.1,1.48,13.05
1.25,13,1.5,13,1.5,13.1,1.5,13.05,1.5,13.15,1.5,13.05
1.26,13,1.52,13.05,1.52,13.15,1.52,13.05,1.52,13.3,1.52,13.05
1.27,13,1.54,13.05,1.54,13.15,1.54,13.1,1.54,13.7,1.54,13.1
1.28,13,1.56,13.05,1.56,13.35,1.56,13.1,1.56,14.45,1.56,13.1
1.29,13,1.58,13.1,1.58,14.2,1.58,13.15,1.58,15.9,1.58,13.15
1.3,13,1.6,13.15,1.6,16.2,1.6,13.15,1.6,18.55,1.6,13.2
1.31,13,1.62,13.2,1.62,20.2,1.62,13.25,1.62,22.85,1.62,13.3
1.32,13,1.64,14.25,1.64,26.15,1.64,14,1.64,28.5,1.64,15.25
1.33,13,1.66,19,1.66,33.65,1.66,18.3,1.66,35.3,1.66,21.1
1.34,13,1.68,27.05,1.68,40,1.68,26.15,1.68,40,1.68,29.8
1.35,13,1.7,37.5,1.7,40,1.7,36.4,1.7,40,1.7,39
1.36,13,1.72,40,1.72,40,,,1.72,40,,
1.37,13,1.74,40,1.74,40,,,1.74,40,,
1.38,13,1.76,40,1.76,40,,,1.76,40,,
1.39,13,1.78,40,1.78,40,,,1.78,40,,
1.4,13,1.8,40,1.8,40,,,1.8,40,,
1.41,13,,,,,,,,,,
1.42,13,,,,,,,,,,
1.43,13,,,,,,,,,,
1.44,13,,,,,,,,,,
1.45,13.05,,,,,,,,,,
1.46,13.05,,,,,,,,,,
1.47,13.05,,,,,,,,,,
1.48,13.05,,,,,,,,,,
1.49,13.05,,,,,,,,,,
1.5,13.1,,,,,,,,,,
1.51,13.1,,,,,,,,,,
1.52,13.1,,,,,,,,,,
1.53,13.1,,,,,,,,,,
1.54,13.15,,,,,,,,,,
1.55,13.15,,,,,,,,,,
1.56,13.2,,,,,,,,,,
1.57,13.3,,,,,,,,,,
1.58,13.55,,,,,,,,,,
1.59,13.95,,,,,,,,,,
1.6,14.55,,,,,,,,,,
1.61,15.5,,,,,,,,,,
1.62,16.85,,,,,,,,,,
1.63,18.7,,,,,,,,,,
1.64,21.05,,,,,,,,,,
1.65,23.85,,,,,,,,,,
1.66,27.05,,,,,,,,,,
1.67,30.65,,,,,,,,,,
1.68,34.55,,,,,,,,,,
1.69,38.7,,,,,,,,,,
1.7,40,,,,,,,,,,
1.71,40,,,,,,,,,,
1.72,40,,,,,,,,,,
1.73,40,,,,,,,,,,
1.74,40,,,,,,,,,,
1.75,40,,,,,,,,,,
1.76,40,,,,,,,,,,
1.77,40,,,,,,,,,,
1.78,40,,,,,,,,,,
1.79,40,,,,,,,,,,
1.8,40,,,,,,,,,,
