Lambda,S22_m005,S22_m01,S22_m04,S22_m08
1,0,0,0,0
1.005,1.37E-04,1.71E-04,9.62E-05,1.05E-04
1.01,2.60E-04,2.88E-04,2.13E-04,2.17E-04
1.015,3.83E-04,4.06E-04,3.30E-04,3.30E-04
1.02,5.06E-04,5.24E-04,4.48E-04,4.43E-04
1.025,6.29E-04,6.42E-04,5.66E-04,5.56E-04
1.03,7.52E-04,7.60E-04,6.84E-04,6.69E-04
1.035,8.75E-04,8.78E-04,8.02E-04,7.83E-04
1.04,9.98E-04,9.97E-04,9.20E-04,8.97E-04
1.045,1.12E-03,1.12E-03,1.04E-03,1.01E-03
1.05,1.25E-03,1.24E-03,1.16E-03,1.12E-03
1.055,1.37E-03,1.36E-03,1.28E-03,1.24E-03
1.06,1.50E-03,1.48E-03,1.40E-03,1.35E-03
1.065,1.63E-03,1.60E-03,1.52E-03,1.47E-03
1.07,1.76E-03,1.73E-03,1.64E-03,1.59E-03
1.075,1.91E-03,1.87E-03,1.77E-03,1.71E-03
1.08,2.07E-03,2.01E-03,1.90E-03,1.83E-03
1.085,2.24E-03,2.17E-03,2.04E-03,1.96E-03
1.09,2.44E-03,2.36E-03,2.19E-03,2.10E-03
1.095,2.68E-03,2.57E-03,2.36E-03,2.24E-03
1.1,2.96E-03,2.82E-03,2.55E-03,2.41E-03
1.105,3.29E-03,3.11E-03,2.77E-03,2.59E-03
1.11,3.68E-03,3.46E-03,3.02E-03,2.80E-03
1.115,4.14E-03,3.87E-03,3.32E-03,3.04E-03
1.12,4.69E-03,4.36E-03,3.66E-03,3.31E-03
1.125,5.33E-03,4.93E-03,4.06E-03,3.63E-03
1.13,6.07E-03,5.59E-03,4.51E-03,3.98E-03
1.135,6.91E-03,6.34E-03,5.03E-03,4.38E-03
1.14,7.85E-03,7.19E-03,5.61E-03,4.82E-03
1.145,8.90E-03,8.12E-03,6.25E-03,5.31E-03
1.15,1.00E-02,9.15E-03,6.95E-03,5.85E-03
1.155,1.13E-02,1.03E-02,7.72E-03,6.43E-03
1.16,1.26E-02,1.15E-02,8.55E-03,7.06E-03
1.165,1.41E-02,1.28E-02,9.46E-03,7.74E-03
1.17,1.56E-02,1.41E-02,1.04E-02,8.48E-03
1.175,1.72E-02,1.56E-02,1.15E-02,9.28E-03
1.18,1.89E-02,1.72E-02,1.26E-02,1.01E-02
1.185,2.08E-02,1.89E-02,1.38E-02,1.11E-02
1.19,2.28E-02,2.07E-02,1.52E-02,1.21E-02
1.195,2.49E-02,2.27E-02,1.67E-02,1.33E-02
1.2,2.73E-02,2.49E-02,1.83E-02,1.46E-02
