Lambda,S22_m005,S22_m01,S22_m04,S22m_08
1,0,0,0,0
1.005,1.06E-04,1.15E-04,1.27E-04,1.55E-04
1.01,2.04E-04,2.12E-04,2.25E-04,2.53E-04
1.015,3.01E-04,3.10E-04,3.23E-04,3.51E-04
1.02,3.99E-04,4.08E-04,4.20E-04,4.49E-04
1.025,4.97E-04,5.06E-04,5.19E-04,5.47E-04
1.03,5.96E-04,6.04E-04,6.17E-04,6.46E-04
1.035,6.94E-04,7.03E-04,7.16E-04,7.44E-04
1.04,7.93E-04,8.02E-04,8.15E-04,8.44E-04
1.045,8.92E-04,9.01E-04,9.14E-04,9.43E-04
1.05,9.92E-04,1.00E-03,1.01E-03,1.04E-03
1.055,1.09E-03,1.10E-03,1.11E-03,1.14E-03
1.06,1.19E-03,1.20E-03,1.21E-03,1.24E-03
1.065,1.29E-03,1.30E-03,1.31E-03,1.34E-03
1.07,1.39E-03,1.40E-03,1.42E-03,1.45E-03
1.075,1.50E-03,1.51E-03,1.52E-03,1.55E-03
1.08,1.60E-03,1.61E-03,1.62E-03,1.65E-03
1.085,1.70E-03,1.72E-03,1.73E-03,1.76E-03
1.09,1.81E-03,1.82E-03,1.84E-03,1.87E-03
1.095,1.93E-03,1.94E-03,1.95E-03,1.98E-03
1.1,2.04E-03,2.05E-03,2.07E-03,2.10E-03
1.105,2.17E-03,2.18E-03,2.19E-03,2.23E-03
1.11,2.30E-03,2.31E-03,2.33E-03,2.36E-03
1.115,2.44E-03,2.46E-03,2.47E-03,2.51E-03
1.12,2.60E-03,2.62E-03,2.63E-03,2.67E-03
1.125,2.77E-03,2.79E-03,2.80E-03,2.84E-03
1.13,2.96E-03,2.98E-03,2.99E-03,3.03E-03
1.135,3.17E-03,3.19E-03,3.20E-03,3.24E-03
1.14,3.39E-03,3.41E-03,3.42E-03,3.47E-03
1.145,3.63E-03,3.65E-03,3.66E-03,3.71E-03
1.15,3.89E-03,3.91E-03,3.92E-03,3.97E-03
1.155,4.18E-03,4.20E-03,4.21E-03,4.26E-03
1.16,4.48E-03,4.50E-03,4.51E-03,4.56E-03
1.165,4.81E-03,4.84E-03,4.84E-03,4.89E-03
1.17,5.17E-03,5.20E-03,5.20E-03,5.25E-03
1.175,5.57E-03,5.59E-03,5.59E-03,5.65E-03
1.18,6.00E-03,6.02E-03,6.02E-03,6.08E-03
1.185,6.48E-03,6.50E-03,6.50E-03,6.55E-03
1.19,7.01E-03,7.03E-03,7.04E-03,7.09E-03
1.195,7.63E-03,7.64E-03,7.65E-03,7.70E-03
1.2,8.33E-03,8.35E-03,8.35E-03,8.41E-03
