B2D1 Dis,B2D1 Force,B1D2 Dis,B1D2 Force,B1D3 Dis,B1D3 Force
1.00029,18.2282,1,10.5421,1,3.512
1.00141,18.7928,1,9.6476,1,2.4199
1.00426,19.5783,1,9.0292,1,1.5222
1.00631,19.0167,1.00001,8.7354,1.00001,2.4866
1.00838,19.2611,1.00002,8.8958,1.00001,3.6732
1.01031,20.4069,1.00004,10.033,1.00002,4.6821
1.01228,20.6727,1.00006,11.0481,1.00003,5.7164
1.01438,20.0269,1.00008,12.0756,1.00007,6.8337
1.01631,20.6846,1.00011,13.1744,1.00014,7.5368
1.01832,20.3764,1.00018,12.0988,1.00019,8.5399
1.02034,20.4921,1.00025,11.7334,1.00024,9.6075
1.02234,21.3352,1.0003,11.5228,1.00028,10.1805
1.02444,20.1621,1.00034,11.5857,1.0003,11.3304
1.02627,22.9855,1.00036,11.6707,1.00032,12.1993
1.02834,22.262,1.00039,12.0836,1.00033,13.2713
1.03042,22.9691,1.00043,12.4156,1.00036,13.7709
1.03229,23.7172,1.00052,12.8553,1.00039,14.9435
1.03436,24.0758,1.00068,13.5495,1.00048,16.0008
1.03632,24.8331,1.00093,13.8289,1.00055,17.0099
1.0384,25.0202,1.00125,13.1195,1.00076,17.6221
1.04036,25.3457,1.0016,12.6782,1.00105,17.0782
1.04226,25.9344,1.00196,12.9333,1.00135,16.0318
1.0444,25.866,1.00232,13.2033,1.00156,14.9492
1.04634,25.7636,1.00265,12.8239,1.00192,14.3107
1.04828,26.8571,1.00295,12.461,1.00226,14.3394
1.05035,25.698,1.00321,11.9069,1.00258,14.298
1.05235,26.9516,1.00344,11.2792,1.00288,14.3683
1.05435,26.812,1.00366,10.9148,1.00314,15.4841
1.05631,28.2768,1.00385,11.4764,1.00337,16.5068
1.05831,28.0287,1.00405,12.6302,1.00359,16.4041
1.06039,28.2278,1.00418,13.6467,1.00379,15.9658
1.06232,30.1212,1.00438,14.6788,1.00399,15.4506
1.06432,29.7315,1.00458,14.9634,1.00418,15.2041
1.06634,30.1173,1.00479,14.5529,1.00438,15.1032
1.06839,30.3923,1.00499,14.089,1.00458,15.2732
1.07032,31.4969,1.0052,13.3721,1.00479,15.564
1.07227,31.6298,1.0054,12.8364,1.005,15.8
1.07438,32.4152,1.00561,12.9318,1.00521,16.5904
1.07631,31.6918,1.00581,13.2745,1.00541,17.3091
1.07833,32.6406,1.00601,13.1997,1.00561,17.3953
1.08031,32.1323,1.00621,12.9283,1.00582,16.9954
1.08235,32.1895,1.00641,12.9382,1.00602,16.4799
1.08441,32.7163,1.00661,13.9734,1.00622,16.0839
1.08626,33.3288,1.00682,14.9884,1.00642,16.0124
1.08832,32.8355,1.00703,15.7679,1.00662,16.6309
1.0904,32.2041,1.00725,15.5026,1.0068,17.6376
1.09229,32.7059,1.00747,14.7761,1.00701,18.1948
1.09434,33.9666,1.0077,14.1049,1.00723,17.7276
1.09633,34.2642,1.00792,13.591,1.00746,17.1592
1.0984,34.0544,1.00812,13.2799,1.00768,16.8284
1.10036,36.3584,1.00831,13.6982,1.0079,16.5828
1.10225,35.8627,1.00846,14.7444,1.00811,16.7788
1.10437,37.0743,1.00863,15.809,1.0083,17.3872
1.10636,36.642,1.00881,16.0563,1.00848,17.5721
1.10829,37.429,1.00899,15.9712,1.00866,17.2974
1.11034,38.0485,1.00917,15.5911,1.00883,17.0767
1.11234,38.133,1.00937,15.374,1.00901,17.0584
1.11439,38.3415,1.00956,15.1835,1.0092,17.2733
1.11629,39.1938,1.00977,15.2533,1.00939,17.8536
1.11832,39.0541,1.00998,15.4474,1.00959,18.5039
1.12039,39.9566,1.0102,15.5537,1.00979,18.5153
1.12233,41.3895,1.01043,15.2574,1.01001,18.0684
1.12431,41.4115,1.01065,14.9415,1.01024,17.5074
1.12633,42.9814,1.01087,15.1099,1.01047,17.2889
1.1284,43.4259,1.01108,15.7629,1.01069,17.2351
1.13032,45.0275,1.01127,16.1177,1.01091,17.257
1.13227,45.5119,1.01145,16.1973,1.01111,17.2858
1.13436,45.8366,1.01163,15.9914,1.0113,17.4226
1.13633,46.5571,1.0118,15.5964,1.01148,17.5508
1.13833,47.2664,1.01198,15.3036,1.01165,17.9399
1.14032,46.8881,1.01216,15.2685,1.01182,18.785
1.14234,47.8844,1.01235,15.4952,1.01199,19.5252
1.14441,47.5516,1.01256,15.7484,1.01218,19.4171
1.14625,48.5564,1.01278,16.1674,1.01237,18.4989
1.14832,49.7205,1.013,16.5586,1.01257,17.5138
1.15041,48.6173,1.01323,16.7641,1.01279,17.1961
1.15231,50.6762,1.01346,16.6653,1.01302,17.5892
1.15435,51.2759,1.01367,16.2928,1.01326,18.171
1.15634,52.1777,1.01387,15.8807,1.01349,18.4143
1.15838,52.8071,1.01406,15.9202,1.01371,18.7496
1.16036,53.6384,1.01425,16.0166,1.01392,18.8893
1.16225,54.4031,1.01442,15.9128,1.01411,18.6897
1.16438,54.4177,1.0146,15.7539,1.01429,18.2651
1.16634,55.3499,1.01477,16.0211,1.01447,18.2028
1.1683,56.195,1.01495,16.6299,1.01464,18.1224
1.17034,56.6452,1.01513,17.2961,1.01481,17.8069
1.17234,56.9984,1.01533,17.6874,1.01499,17.8399
1.17439,57.8197,1.01554,17.6261,1.01517,18.5176
1.17629,57.4203,1.01575,17.1103,1.01536,19.3173
1.17832,59.1075,1.01597,16.4918,1.01557,19.6252
1.18038,58.3008,1.01619,15.7974,1.01578,19.3852
1.18232,60.1479,1.01641,15.5408,1.01599,19.1
1.18432,60.7833,1.01662,15.3004,1.01621,19.0772
1.18633,61.5772,1.01683,15.7557,1.01643,19.0379
1.18839,62.604,1.01703,16.7776,1.01665,18.7111
1.19034,63.5706,1.01721,17.8174,1.01686,18.6908
1.19226,64.1744,1.0174,18.2538,1.01706,18.8324
1.19436,65.4316,1.0176,17.8862,1.01727,18.627
1.19632,65.5878,1.01779,17.3585,1.01746,18.3523
1.19834,66.6852,1.01799,16.8919,1.01765,18.6733
1.20031,68.1842,1.01819,16.5007,1.01784,19.3232
1.20234,67.4089,1.01839,16.6509,1.01804,19.7838
1.2044,69.7291,1.0186,16.7688,1.01824,19.7538
1.20626,69.5453,1.0188,16.7847,1.01844,19.8364
1.20835,69.5678,1.01901,16.665,1.01865,19.7643
1.2104,70.7009,1.01921,16.9308,1.01886,19.4805
1.2123,70.4915,1.0194,17.2097,1.01907,18.6649
1.21436,71.8414,1.0196,17.5385,1.01926,18.1404
1.21632,72.5528,1.01979,18.0414,1.01946,18.4858
1.21837,72.4798,1.01998,18.4108,1.01964,19.1537
1.22038,74.4951,1.02017,17.9792,1.01983,19.5701
1.22223,75.1896,1.02037,17.0058,1.02002,19.9073
1.22439,75.7936,1.02057,16.2468,1.02022,20.2335
1.22634,77.9407,1.02077,16.5142,1.02042,20.3725
1.2283,77.8658,1.02098,17.211,1.02062,20.2679
1.23035,78.9326,1.02119,17.9679,1.02083,20.2212
1.23234,79.784,1.0214,18.0233,1.02104,19.979
1.23439,80.3635,1.02161,17.791,1.02125,19.1655
1.23629,81.685,1.02181,17.5525,1.02145,18.3249
1.23829,81.1541,1.02201,17.4279,1.02165,18.3896
1.24039,81.7698,1.0222,17.4024,1.02183,19.419
1.24231,82.7868,1.02239,17.5611,1.02199,20.4775
1.24433,83.0229,1.02259,17.794,1.02218,21.1248
1.24636,83.8299,1.02278,18.0432,1.02237,21.1308
1.24837,84.0406,1.02298,17.8792,1.02257,20.804
1.25032,84.9094,1.02319,17.7437,1.02277,20.2956
1.25226,86.9691,1.0234,17.5246,1.02297,19.6876
1.25437,87.1445,1.02363,17.6853,1.02318,19.6327
1.25631,89.1341,1.02386,18.3201,1.02339,19.8645
1.25834,89.6444,1.02408,18.9314,1.02362,20.1281
1.26032,89.8085,1.0243,18.9101,1.02385,20.1344
1.26233,91.5182,1.0245,18.2055,1.02408,19.9505
1.26445,92.0579,1.02468,17.5153,1.02429,19.8782
1.26625,93.3133,1.02486,17.1793,1.02449,20.1805
1.26833,93.8475,1.02502,17.1389,1.02467,20.7379
1.27041,93.072,1.02519,17.3523,1.02484,20.9579
1.2723,94.7934,1.02536,17.9186,1.02501,20.5541
1.27437,94.9927,1.02553,18.6123,1.02518,20.0191
1.27632,95.5034,1.02572,19.0875,1.02535,19.7749
1.27839,95.8796,1.02591,19.228,1.02552,20.2322
1.28037,96.5234,1.02611,19.0847,1.0257,20.8386
1.28225,98.9078,1.02633,18.6364,1.0259,21.3285
1.28439,99.5019,1.02656,18.1445,1.0261,21.3277
1.28635,99.9559,1.0268,17.7924,1.02632,21.3477
1.2883,101.1643,1.02703,17.9272,1.02655,21.2774
1.29034,102.0208,1.02725,17.978,1.02678,21.2297
1.29233,102.8302,1.02746,17.6984,1.02702,20.932
1.2944,103.8255,1.02766,17.8348,1.02725,20.5925
1.29628,104.0522,1.02785,18.6499,1.02746,20.2025
1.29832,105.6554,1.02802,19.3439,1.02766,20.0377
1.30038,105.4822,1.0282,19.5173,1.02785,20.2962
1.30232,106.6708,1.02837,19.484,1.02802,20.8543
1.30433,107.3852,1.02855,19.6345,1.02819,21.1109
1.30633,107.3459,1.02874,18.9778,1.02836,21.2281
1.30841,107.5946,1.02894,18.0329,1.02854,21.4189
1.3103,109.323,1.02914,17.4547,1.02873,21.4247
1.31228,110.3564,1.02936,17.9147,1.02892,21.365
1.31435,110.9551,1.02959,18.7267,1.02913,21.7282
1.31632,111.352,1.02982,19.2205,1.02935,22.0316
1.31834,112.3628,1.03004,19.4845,1.02958,21.6798
1.3203,114.3667,1.03025,19.6127,1.02981,20.9486
1.32232,114.33,1.03045,19.081,1.03004,20.4565
1.32444,115.4812,1.03064,18.518,1.03025,20.1837
1.32627,116.7698,1.03082,18.3324,1.03045,20.5202
1.32833,116.9873,1.031,18.8787,1.03065,21.5691
1.3304,118.5223,1.03117,19.0185,1.03083,22.6197
1.33229,119.0427,1.03135,18.873,1.031,22.8303
1.33437,118.6657,1.03153,18.8128,1.03117,22.5814
1.33631,119.1025,1.03172,18.9095,1.03135,22.0143
