U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
0,1,0.198,1.98E-04,,,0,1,13,,,0,0,1,0,,0,1,13
1.76E-03,1.0003526,0.207,2.07E-04,,,0.00796973,1.000318789,13,,,2.00E-05,0.000004,1.0000008,1.17E-04,,0.00002,1.0000008,13
1.77E-03,1.0003534,0.201,2.01E-04,,,0.00809384,1.000323754,13,,,4.00E-05,0.000008,1.0000016,-2.21E-06,,0.00004,1.0000016,13
1.77E-03,1.0003542,0.198,1.98E-04,,,0.00821795,1.000328718,13,,,6.00E-05,0.000012,1.0000024,1.51E-06,,0.00006,1.0000024,13
1.78E-03,1.000355,0.192,1.92E-04,,,0.00834205,1.000333682,13,,,9.00E-05,0.000018,1.0000036,2.10E-06,,0.00009,1.0000036,13
1.78E-03,1.000356,0.188,1.88E-04,,,0.00849718,1.000339887,13,,,1.35E-04,0.000027,1.0000054,2.98E-06,,0.000135,1.0000054,13
1.79E-03,1.00035725,0.182,1.82E-04,,,0.00863698,1.000345479,13,,,2.03E-04,0.0000405,1.0000081,4.30E-06,,0.0002025,1.0000081,13
1.79E-03,1.000358812,0.177,1.77E-04,,,0.00877678,1.000351071,13,,,3.04E-04,0.00006075,1.00001215,6.27E-06,,0.00030375,1.00001215,13
1.80E-03,1.000360766,0.173,1.73E-04,,,0.00891657,1.000356663,13,,,4.56E-04,0.000091125,1.000018225,9.23E-06,,0.000455625,1.000018225,13
1.82E-03,1.000363206,0.173,1.73E-04,,,0.0090784,1.000363136,13,,,6.83E-04,0.000136688,1.000027338,1.37E-05,,0.000683438,1.000027338,13
1.83E-03,1.000366258,0.175,1.75E-04,,,0.00924023,1.000369609,13,,,1.03E-03,0.000205032,1.000041006,2.03E-05,,0.00102516,1.000041006,13
1.85E-03,1.000370074,0.179,1.79E-04,,,0.00940206,1.000376082,13,,,1.54E-03,0.000307546,1.000061509,3.03E-05,,0.00153773,1.000061509,13
1.87E-03,1.000374842,0.179,1.79E-04,,,0.00956389,1.000382556,13,,,2.31E-03,0.00046132,1.000092264,4.53E-05,,0.0023066,1.000092264,13
1.90E-03,1.000380802,0.178,1.78E-04,,,0.00972572,1.000389029,13,,,3.46E-03,0.00069198,1.000138396,6.78E-05,,0.0034599,1.000138396,13
1.94E-03,1.000388252,0.182,1.82E-04,,,0.00992494,1.000396998,13,,,5.19E-03,0.00103797,1.000207594,1.01E-04,,0.00518985,1.000207594,13
1.99E-03,1.000397566,0.202,2.02E-04,,,0.0101242,1.000404968,13,,,7.78E-03,0.001556956,1.000311391,1.52E-04,,0.00778478,1.000311391,13
2.05E-03,1.000409208,0.264,2.64E-04,,,0.0103732,1.000414928,13,,,1.17E-02,0.00233544,1.000467088,2.28E-04,,0.0116772,1.000467088,13
2.10E-03,1.000420848,0.341,3.41E-04,,,0.0106222,1.000424888,13,,,1.75E-02,0.00350316,1.000700632,3.41E-04,,0.0175158,1.000700632,13
2.16E-03,1.00043249,0.355,3.55E-04,,,0.0109335,1.00043734,13,,,2.63E-02,0.00525472,1.001050944,5.12E-04,,0.0262736,1.001050944,13
2.23E-03,1.000446882,0.316,3.16E-04,,,0.0112447,1.000449788,13,,,3.94E-02,0.00788208,1.001576416,7.67E-04,,0.0394104,1.001576416,13
2.31E-03,1.000461274,0.341,3.41E-04,,,0.0116338,1.000465352,13,,,5.91E-02,0.01182314,1.002364628,1.15E-03,,0.0591157,1.002364628,13
2.40E-03,1.000479032,0.373,3.73E-04,,,0.0121202,1.000484808,13,,,8.87E-02,0.0177347,1.00354694,1.72E-03,,0.0886735,1.00354694,13
2.48E-03,1.000496788,0.335,3.35E-04,,,0.0126745,1.00050698,13,,,1.33E-01,0.026602,1.0053204,2.58E-03,,0.13301,1.0053204,13
2.59E-03,1.000517982,0.347,3.47E-04,,,0.0132288,1.000529152,13,,,2.00E-01,0.039903,1.0079806,3.86E-03,,0.199515,1.0079806,13
2.70E-03,1.000539176,0.335,3.35E-04,,,0.0137832,1.000551328,13,,,2.99E-01,0.0598546,1.01197092,5.77E-03,,0.299273,1.01197092,13
2.80E-03,1.00056037,0.291,2.91E-04,,,0.0143375,1.0005735,13,,,4.49E-01,0.089782,1.0179564,8.63E-03,,0.44891,1.0179564,13
2.91E-03,1.000581564,0.332,3.32E-04,,,0.0150304,1.000601216,13,,,6.73E-01,0.1346728,1.02693456,1.30E-02,,0.673364,1.02693456,13
3.04E-03,1.000608056,0.343,3.43E-04,,,0.0157234,1.000628936,13,,,1.01005,0.20201,1.040402,2.02E-02,,1.01005,1.040402,13
3.17E-03,1.00063455,0.366,3.66E-04,,,0.0164163,1.000656652,13,,,1.41005,0.28201,1.056402,3.16E-02,,1.41005,1.056402,13
3.31E-03,1.000661042,0.437,4.37E-04,,,0.0169873,1.000679492,13,,,1.81005,0.36201,1.072402,4.94E-02,,1.81005,1.072402,13
3.44E-03,1.000687534,0.46,4.60E-04,,,0.0175582,1.000702328,13,,,2.21005,0.44201,1.088402,7.83E-02,,2.21005,1.088402,13
3.57E-03,1.000714026,0.444,4.44E-04,,,0.0181292,1.000725168,13,,,2.61005,0.52201,1.104402,1.23E-01,,2.61005,1.104402,13
3.70E-03,1.00074052,0.41,4.10E-04,,,0.0187002,1.000748008,13,,,3.01005,0.60201,1.120402,1.86E-01,,3.01005,1.120402,13
3.85E-03,1.000769608,0.431,4.31E-04,,,0.0192711,1.000770844,13,,,3.41005,0.68201,1.136402,2.69E-01,,3.41005,1.136402,13
3.99E-03,1.000798694,0.417,4.17E-04,,,0.0198421,1.000793684,13,,,3.81005,0.76201,1.152402,3.69E-01,,3.81005,1.152402,13
4.14E-03,1.000827782,0.406,4.06E-04,,,0.0204635,1.00081854,13,,,4.21005,0.84201,1.168402,4.86E-01,,4.21005,1.168402,13
4.28E-03,1.00085687,0.469,4.69E-04,,,0.0210849,1.000843396,13,,,4.61005,0.92201,1.184402,6.16E-01,,4.61005,1.184402,13
4.45E-03,1.000890486,0.5,5.00E-04,,,0.0217063,1.000868252,13,,,5.01005,1.00201,1.200402,7.57E-01,,5.01005,1.200402,13
4.62E-03,1.000924102,0.521,5.21E-04,,,0.0223277,1.000893108,13,,,5.41005,1.08201,1.216402,9.06E-01,,5.41005,1.216402,13
4.79E-03,1.000957718,0.521,5.21E-04,,,0.0229492,1.000917968,13,,,5.81005,1.16201,1.232402,1.0617,,5.81005,1.232402,13
4.96E-03,1.000991334,0.511,5.11E-04,,,0.0236607,1.000946428,13,,,6.21005,1.24201,1.248402,1.22229,,6.21005,1.248402,13
5.15E-03,1.001030856,0.52,5.20E-04,,,0.0243722,1.000974888,13,,,6.61005,1.32201,1.264402,1.38656,,6.61005,1.264402,13
5.35E-03,1.001070378,0.555,5.55E-04,,,0.0250837,1.001003348,13,,,7.01005,1.40201,1.280402,1.55354,,7.01005,1.280402,13
5.55E-03,1.001109902,0.591,5.91E-04,,,0.0257952,1.001031808,13,,,7.41005,1.48201,1.296402,1.72252,,7.41005,1.296402,13
5.75E-03,1.001149424,0.602,6.02E-04,,,0.0266491,1.001065964,13,,,7.81005,1.56201,1.312402,1.89296,,7.81005,1.312402,13
5.99E-03,1.001198828,0.633,6.33E-04,,,0.027503,1.00110012,13,,,8.21005,1.64201,1.328402,2.06447,,8.21005,1.328402,13
6.24E-03,1.00124823,0.619,6.19E-04,,,0.0283569,1.001134276,13,,,8.61005,1.72201,1.344402,2.23674,,8.61005,1.344402,13
6.49E-03,1.001297634,0.613,6.13E-04,,,0.0292108,1.001168432,13,,,9.01005,1.80201,1.360402,2.40956,,9.01005,1.360402,13
6.74E-03,1.001347038,0.671,6.71E-04,,,0.0302782,1.001211128,13,,,9.41005,1.88201,1.376402,2.58268,,9.41005,1.376402,13
7.04E-03,1.001408792,0.727,7.27E-04,,,0.0313455,1.00125382,13,,,9.81005,1.96201,1.392402,2.75597,,9.81005,1.392402,13
7.40E-03,1.001480746,0.722,7.22E-04,,,0.0324129,1.001296516,13,,,10.21,2.042,1.4084,2.92931,,10.21,1.4084,13
7.76E-03,1.001552698,0.732,7.32E-04,,,0.0334803,1.001339212,13,,,10.61,2.122,1.4244,3.10258,,10.61,1.4244,13
8.12E-03,1.001624652,0.792,7.92E-04,,,0.0348145,1.00139258,13,,,11.01,2.202,1.4404,3.2757,,11.01,1.4404,13
