Time,Lambda Force,Force,,,Time Crack,Lambda Crack,Crack Length
0,1,5.53E-03,,,0,1,13
4.81E-06,1.000000192,7.04E-03,,,4.81E-06,1.000000192,13
9.61E-06,1.000000385,4.30E-03,,,9.61E-06,1.000000385,13
1.44E-05,1.000000577,6.53E-03,,,1.44E-05,1.000000577,13
2.04E-05,1.000000817,4.70E-03,,,2.04E-05,1.000000817,13
2.79E-05,1.000001118,6.18E-03,,,2.79E-05,1.000001118,13
3.73E-05,1.000001493,4.97E-03,,,3.73E-05,1.000001493,13
4.91E-05,1.000001963,5.94E-03,,,4.91E-05,1.000001963,13
6.37E-05,1.000002549,5.13E-03,,,6.37E-05,1.000002549,13
8.21E-05,1.000003283,5.77E-03,,,8.21E-05,1.000003283,13
1.05E-04,1.0000042,5.22E-03,,,1.05E-04,1.0000042,13
1.34E-04,1.000005346,5.62E-03,,,1.34E-04,1.000005346,13
1.69E-04,1.000006778,5.23E-03,,,1.69E-04,1.000006778,13
2.14E-04,1.000008569,5.46E-03,,,2.14E-04,1.000008569,13
2.70E-04,1.000010807,5.15E-03,,,2.70E-04,1.000010807,13
3.40E-04,1.000013605,5.25E-03,,,3.40E-04,1.000013605,13
4.28E-04,1.000017102,4.99E-03,,,4.28E-04,1.000017102,13
5.37E-04,1.000021474,5.00E-03,,,5.37E-04,1.000021474,13
6.46E-04,1.000025846,4.77E-03,,,6.46E-04,1.000025846,13
7.55E-04,1.000030218,4.70E-03,,,7.55E-04,1.000030218,13
8.65E-04,1.000034589,4.41E-03,,,8.65E-04,1.000034589,13
9.74E-04,1.000038961,4.10E-03,,,9.74E-04,1.000038961,13
1.08E-03,1.000043333,3.38E-03,,,1.08E-03,1.000043333,13
1.19E-03,1.000047705,2.38E-03,,,1.19E-03,1.000047705,13
1.33E-03,1.000053169,8.40E-04,,,1.33E-03,1.000053169,13
1.50E-03,1.00006,-1.31E-04,,,1.50E-03,1.00006,13
1.71E-03,1.000068539,9.65E-04,,,1.71E-03,1.000068539,13
1.98E-03,1.000079212,2.52E-03,,,1.98E-03,1.000079212,13
2.25E-03,1.000089885,1.38E-03,,,2.25E-03,1.000089885,13
2.51E-03,1.000100558,9.81E-04,,,2.51E-03,1.000100558,13
2.85E-03,1.0001139,2.73E-03,,,2.85E-03,1.0001139,13
3.18E-03,1.000127242,2.29E-03,,,3.18E-03,1.000127242,13
3.51E-03,1.000140583,2.18E-03,,,3.51E-03,1.000140583,13
3.93E-03,1.00015726,4.34E-03,,,3.93E-03,1.00015726,13
4.45E-03,1.000178106,3.66E-03,,,4.45E-03,1.000178106,13
4.97E-03,1.000198952,3.06E-03,,,4.97E-03,1.000198952,13
5.49E-03,1.000219798,2.83E-03,,,5.49E-03,1.000219798,13
6.02E-03,1.000240644,2.29E-03,,,6.02E-03,1.000240644,13
6.54E-03,1.00026149,2.59E-03,,,6.54E-03,1.00026149,13
7.06E-03,1.000282337,1.13E-03,,,7.06E-03,1.000282337,13
7.58E-03,1.000303183,1.82E-03,,,7.58E-03,1.000303183,13
8.10E-03,1.000324029,3.54E-03,,,8.10E-03,1.000324029,13
8.62E-03,1.000344875,3.50E-03,,,8.62E-03,1.000344875,13
9.14E-03,1.000365721,4.25E-03,,,9.14E-03,1.000365721,13
9.66E-03,1.000386567,4.89E-03,,,9.66E-03,1.000386567,13
1.03E-02,1.000412624,4.67E-03,,,1.03E-02,1.000412624,13
1.10E-02,1.000438684,3.06E-03,,,1.10E-02,1.000438684,13
1.16E-02,1.00046474,1.73E-03,,,1.16E-02,1.00046474,13
1.23E-02,1.000490796,2.03E-03,,,1.23E-02,1.000490796,13
1.31E-02,1.000523368,2.06E-03,,,1.31E-02,1.000523368,13
1.39E-02,1.000555944,2.69E-03,,,1.39E-02,1.000555944,13
1.47E-02,1.000588516,3.84E-03,,,1.47E-02,1.000588516,13
1.55E-02,1.000621088,4.05E-03,,,1.55E-02,1.000621088,13
1.65E-02,1.0006618,3.03E-03,,,1.65E-02,1.0006618,13
1.76E-02,1.000702516,2.15E-03,,,1.76E-02,1.000702516,13
1.86E-02,1.000743232,2.87E-03,,,1.86E-02,1.000743232,13
1.99E-02,1.000794124,4.65E-03,,,1.99E-02,1.000794124,13
2.11E-02,1.00084502,3.63E-03,,,2.11E-02,1.00084502,13
2.24E-02,1.000895912,2.08E-03,,,2.24E-02,1.000895912,13
2.37E-02,1.000946808,2.86E-03,,,2.37E-02,1.000946808,13
2.53E-02,1.001010424,3.31E-03,,,2.53E-02,1.001010424,13
2.66E-02,1.00106404,4.20E-03,,,2.66E-02,1.00106404,13
2.79E-02,1.001117656,3.93E-03,,,2.79E-02,1.001117656,13
2.93E-02,1.001171272,2.44E-03,,,2.93E-02,1.001171272,13
3.10E-02,1.001238292,2.97E-03,,,3.10E-02,1.001238292,13
3.31E-02,1.001322068,4.28E-03,,,3.31E-02,1.001322068,13
3.57E-02,1.001426788,3.27E-03,,,3.57E-02,1.001426788,13
3.83E-02,1.001531504,3.39E-03,,,3.83E-02,1.001531504,13
4.09E-02,1.001636224,3.98E-03,,,4.09E-02,1.001636224,13
4.35E-02,1.001740944,3.11E-03,,,4.35E-02,1.001740944,13
4.68E-02,1.001871844,4.09E-03,,,4.68E-02,1.001871844,13
5.09E-02,1.002035468,4.06E-03,,,5.09E-02,1.002035468,13
5.50E-02,1.002199088,3.09E-03,,,5.50E-02,1.002199088,13
5.91E-02,1.002362712,4.70E-03,,,5.91E-02,1.002362712,13
6.32E-02,1.002526336,3.97E-03,,,6.32E-02,1.002526336,13
6.72E-02,1.00268996,3.66E-03,,,6.72E-02,1.00268996,13
7.13E-02,1.002853584,4.65E-03,,,7.13E-02,1.002853584,13
7.65E-02,1.003058112,4.19E-03,,,7.65E-02,1.003058112,13
8.16E-02,1.003262644,4.37E-03,,,8.16E-02,1.003262644,13
8.67E-02,1.003467172,4.53E-03,,,8.67E-02,1.003467172,13
9.18E-02,1.0036717,4.71E-03,,,9.18E-02,1.0036717,13
9.82E-02,1.003927364,4.72E-03,,,9.82E-02,1.003927364,13
1.05E-01,1.00418304,4.74E-03,,,1.05E-01,1.00418304,13
1.11E-01,1.00443868,5.31E-03,,,1.11E-01,1.00443868,13
1.17E-01,1.00469436,4.82E-03,,,1.17E-01,1.00469436,13
